Maschinen_ID,Zyklus,Temperatur_C,Vibration_mm_s,Druck_Bar,Restnutzungsdauer_RUL,Risikostufe,Status
M001,150,85.5,4.2,12.1,40,Niedrig,Betriebsbereit
M002,180,92.1,6.8,11.8,12,Hoch,Wartung erforderlich
M003,50,72.4,2.1,12.5,150,Niedrig,Betriebsbereit
M004,210,105.8,9.5,10.2,3,Kritisch,Sofortiger Stopp
M005,120,80.2,3.8,12.2,80,Niedrig,Betriebsbereit
M006,195,98.4,7.2,11.5,15,Hoch,Wartung erforderlich
M007,45,70.1,1.9,12.6,155,Niedrig,Betriebsbereit
git add .
git commit -m "Adicionando dados do projeto de IA"
git push origin Bosch-AI-Project
